                          <<쌍용고등학교 성적표>>                         
-----------------------------------------------------------------
등수	학번	이름	국어	영어	수학	전산	총점	평균	평점
-----------------------------------------------------------------
6	1101	한송이	78	87	83	78	326	81.5	B
6	1102	정다워	88	83	57	98	326	81.5	B
10	1103	그리운	76	56	87	78	297	74.25	C
9	1104	고아라	83	57	88	73	301	75.25	C
11	1105	사랑해	87	87	53	55	282	70.5	C
1	1106	튼튼이	98	97	93	88	376	94.0	A
8	1107	한아름	68	67	83	89	307	76.75	C
4	1108	더크게	98	67	93	78	336	84.0	B
5	1109	더높이	88	99	53	88	328	82.0	B
12	1110	아리랑	68	79	63	66	276	69.0	D
3	1111	한산섬	98	89	73	78	338	84.5	B
2	1112	하나로	89	97	78	88	352	88.0	B
